"species","siteStatus","site","status"
"Ambrosia sp.","Barger_early","Barger","early"
"Asclepias fascicularis","Barger_early","Barger","early"
"Baccharis salicifolia","Barger_early","Barger","early"
"Brassica sp.","Barger_early","Barger","early"
"Carduus pycnocephalus","Barger_early","Barger","early"
"Ceanothus sp.","Barger_early","Barger","early"
"Centaurea solstitialis","Barger_early","Barger","early"
"Convolvulus arvensis","Barger_early","Barger","early"
"Eschscholzia californica","Barger_early","Barger","early"
"Lactuca serriola","Barger_early","Barger","early"
"Lepidium latifolium","Barger_early","Barger","early"
"Marrubium vulgare","Barger_early","Barger","early"
"Raphanus raphanistrum","Barger_early","Barger","early"
"Silybum marianum","Barger_early","Barger","early"
"Atriplex lentiformis","Barger_late","Barger","late"
"Baccharis salicifolia","Barger_late","Barger","late"
"Brassica sp.","Barger_late","Barger","late"
"Carduus pycnocephalus","Barger_late","Barger","late"
"Ceanothus hearstiorum","Barger_late","Barger","late"
"Ceanothus sp.","Barger_late","Barger","late"
"Centaurea solstitialis","Barger_late","Barger","late"
"Convolvulus arvensis","Barger_late","Barger","late"
"Eriogonum fasciculatum","Barger_late","Barger","late"
"Heteromeles arbutifolia","Barger_late","Barger","late"
"Lactuca serriola","Barger_late","Barger","late"
"Lepidium latifolium","Barger_late","Barger","late"
"Lotus unifoliolatus","Barger_late","Barger","late"
"Lupinus sp.","Barger_late","Barger","late"
"Malvella leprosa","Barger_late","Barger","late"
"Marrubium vulgare","Barger_late","Barger","late"
"Rosa californica","Barger_late","Barger","late"
"Salix sp.","Barger_late","Barger","late"
"Salvia sp.","Barger_late","Barger","late"
"Sambucus mexicana","Barger_late","Barger","late"
"Silybum marianum","Barger_late","Barger","late"
"Achillea millefolium","Butler_early","Butler","early"
"Aster chilensis","Butler_early","Butler","early"
"Baccharis salicifolia","Butler_early","Butler","early"
"Brassica sp.","Butler_early","Butler","early"
"Carduus pycnocephalus","Butler_early","Butler","early"
"Convolvulus arvensis","Butler_early","Butler","early"
"Eriogonum fasciculatum","Butler_early","Butler","early"
"Eschscholzia californica","Butler_early","Butler","early"
"Grindelia hirsutula","Butler_early","Butler","early"
"Helianthus annuus","Butler_early","Butler","early"
"Picris echioides","Butler_early","Butler","early"
"Polygonum lapathifolium","Butler_early","Butler","early"
"Sonchus sp.","Butler_early","Butler","early"
"Symphyotrichum chilense","Butler_early","Butler","early"
"Tribulus terrestris","Butler_early","Butler","early"
"Vicia villosa","Butler_early","Butler","early"
"Achillea millefolium","Butler_late","Butler","late"
"Aster chilensis","Butler_late","Butler","late"
"Baccharis salicifolia","Butler_late","Butler","late"
"Brassica sp.","Butler_late","Butler","late"
"Carduus pycnocephalus","Butler_late","Butler","late"
"Convolvulus arvensis","Butler_late","Butler","late"
"Eriogonum fasciculatum","Butler_late","Butler","late"
"Erodium cicutarium","Butler_late","Butler","late"
"Grindelia camporum","Butler_late","Butler","late"
"Heteromeles arbutifolia","Butler_late","Butler","late"
"Malva neglecta","Butler_late","Butler","late"
"Picris echioides","Butler_late","Butler","late"
"Polygonum arenastrum","Butler_late","Butler","late"
"Rosa californica","Butler_late","Butler","late"
"Sambucus mexicana","Butler_late","Butler","late"
"Silybum marianum","Butler_late","Butler","late"
"Sonchus sp.","Butler_late","Butler","late"
"Atriplex lentiformis","Hrdy_early","Hrdy","early"
"Convolvulus arvensis","Hrdy_early","Hrdy","early"
"Eschscholzia californica","Hrdy_early","Hrdy","early"
"Euphorbia peplus","Hrdy_early","Hrdy","early"
"Frangula californica","Hrdy_early","Hrdy","early"
"Fremontodendron californica","Hrdy_early","Hrdy","early"
"Grindelia camporum","Hrdy_early","Hrdy","early"
"Grindelia hirsutula","Hrdy_early","Hrdy","early"
"Lupinus sp.","Hrdy_early","Hrdy","early"
"Medicago polymorpha","Hrdy_early","Hrdy","early"
"Phacelia californica","Hrdy_early","Hrdy","early"
"Polygonum arenastrum","Hrdy_early","Hrdy","early"
"Portulaca oleracea","Hrdy_early","Hrdy","early"
"Rhamnus californica","Hrdy_early","Hrdy","early"
"Rosa californica","Hrdy_early","Hrdy","early"
"Sonchus sp.","Hrdy_early","Hrdy","early"
"Tribulus terrestris","Hrdy_early","Hrdy","early"
"Aster chilensis","Hrdy_late","Hrdy","late"
"Atriplex lentiformis","Hrdy_late","Hrdy","late"
"Convolvulus arvensis","Hrdy_late","Hrdy","late"
"Epilobium campestre","Hrdy_late","Hrdy","late"
"Eriogonum fasciculatum","Hrdy_late","Hrdy","late"
"Erodium cicutarium","Hrdy_late","Hrdy","late"
"Grindelia camporum","Hrdy_late","Hrdy","late"
"Grindelia hirsutula","Hrdy_late","Hrdy","late"
"Heteromeles arbutifolia","Hrdy_late","Hrdy","late"
"Malva neglecta","Hrdy_late","Hrdy","late"
"Phacelia californica","Hrdy_late","Hrdy","late"
"Picris echioides","Hrdy_late","Hrdy","late"
"Portulaca oleracea","Hrdy_late","Hrdy","late"
"Rhamnus californica","Hrdy_late","Hrdy","late"
"Rhamnus tomentella","Hrdy_late","Hrdy","late"
"Rosa californica","Hrdy_late","Hrdy","late"
"Salvia sp.","Hrdy_late","Hrdy","late"
"Sambucus mexicana","Hrdy_late","Hrdy","late"
"Sonchus sp.","Hrdy_late","Hrdy","late"
"Achillea millefolium","MullerB_early","MullerB","early"
"Anthemis cotula","MullerB_early","MullerB","early"
"Brassica sp.","MullerB_early","MullerB","early"
"Calendula officinalis","MullerB_early","MullerB","early"
"Capsella bursa-pastoris","MullerB_early","MullerB","early"
"Centaurea cyanus","MullerB_early","MullerB","early"
"Centaurea solstitialis","MullerB_early","MullerB","early"
"Convolvulus arvensis","MullerB_early","MullerB","early"
"Coriandrum sativum","MullerB_early","MullerB","early"
"Eschscholzia californica","MullerB_early","MullerB","early"
"Foeniculum vulgare","MullerB_early","MullerB","early"
"Grindelia hirsutula","MullerB_early","MullerB","early"
"Lactuca serriola","MullerB_early","MullerB","early"
"Lotus corniculatus","MullerB_early","MullerB","early"
"Lotus purshianus","MullerB_early","MullerB","early"
"Medicago polymorpha","MullerB_early","MullerB","early"
"Melilotus officinalis","MullerB_early","MullerB","early"
"Phacelia californica","MullerB_early","MullerB","early"
"Picris echioides","MullerB_early","MullerB","early"
"Polygonum arenastrum","MullerB_early","MullerB","early"
"Raphanus raphanistrum","MullerB_early","MullerB","early"
"Sonchus sp.","MullerB_early","MullerB","early"
"Trifolium pratense","MullerB_early","MullerB","early"
"Trifolium repens","MullerB_early","MullerB","early"
"Achillea millefolium","MullerB_late","MullerB","late"
"Alyssum sp.","MullerB_late","MullerB","late"
"Anthemis cotula","MullerB_late","MullerB","late"
"Atriplex lentiformis","MullerB_late","MullerB","late"
"Baccharis salicifolia","MullerB_late","MullerB","late"
"Brassica sp.","MullerB_late","MullerB","late"
"Calendula officinalis","MullerB_late","MullerB","late"
"Ceanothus sp.","MullerB_late","MullerB","late"
"Centaurea cyanus","MullerB_late","MullerB","late"
"Centaurea solstitialis","MullerB_late","MullerB","late"
"Convolvulus arvensis","MullerB_late","MullerB","late"
"Daucus carota","MullerB_late","MullerB","late"
"Eriogonum fasciculatum","MullerB_late","MullerB","late"
"Eschscholzia californica","MullerB_late","MullerB","late"
"Foeniculum vulgare","MullerB_late","MullerB","late"
"Grindelia camporum","MullerB_late","MullerB","late"
"Grindelia hirsutula","MullerB_late","MullerB","late"
"Heteromeles arbutifolia","MullerB_late","MullerB","late"
"Hirschfieldia incana","MullerB_late","MullerB","late"
"Lactuca serriola","MullerB_late","MullerB","late"
"Lepidium latifolium","MullerB_late","MullerB","late"
"Lobularia maritima","MullerB_late","MullerB","late"
"Lotus corniculatus","MullerB_late","MullerB","late"
"Lotus scoparius","MullerB_late","MullerB","late"
"Lupinus sp.","MullerB_late","MullerB","late"
"Medicago polymorpha","MullerB_late","MullerB","late"
"Medicago sativa","MullerB_late","MullerB","late"
"Melilotus officinalis","MullerB_late","MullerB","late"
"Physalis philadelphica","MullerB_late","MullerB","late"
"Picris echioides","MullerB_late","MullerB","late"
"Plantago lanceolata","MullerB_late","MullerB","late"
"Plantago major","MullerB_late","MullerB","late"
"Polygonum arenastrum","MullerB_late","MullerB","late"
"Punica granatum","MullerB_late","MullerB","late"
"Raphanus raphanistrum","MullerB_late","MullerB","late"
"Rhamnus tomentella","MullerB_late","MullerB","late"
"Salix sp.","MullerB_late","MullerB","late"
"Salvia sp.","MullerB_late","MullerB","late"
"Torilis arvensis","MullerB_late","MullerB","late"
"Trifolium incarnatum","MullerB_late","MullerB","late"
"Trifolium pratense","MullerB_late","MullerB","late"
"Trifolium repens","MullerB_late","MullerB","late"
"Zinnia elegans","MullerB_late","MullerB","late"
"Brassica sp.","Sperandio_early","Sperandio","early"
"Centaurea solstitialis","Sperandio_early","Sperandio","early"
"Convolvulus arvensis","Sperandio_early","Sperandio","early"
"Grindelia camporum","Sperandio_early","Sperandio","early"
"Kickxia elatine","Sperandio_early","Sperandio","early"
"Malva neglecta","Sperandio_early","Sperandio","early"
"Melilotus alba","Sperandio_early","Sperandio","early"
"Picris echioides","Sperandio_early","Sperandio","early"
"Polygonum lapathifolium","Sperandio_early","Sperandio","early"
"Raphanus raphanistrum","Sperandio_early","Sperandio","early"
"Trifolium pratense","Sperandio_early","Sperandio","early"
"Brassica sp.","Sperandio_late","Sperandio","late"
"Ceanothus hearstiorum","Sperandio_late","Sperandio","late"
"Ceanothus sp.","Sperandio_late","Sperandio","late"
"Convolvulus arvensis","Sperandio_late","Sperandio","late"
"Eriogonum fasciculatum","Sperandio_late","Sperandio","late"
"Grindelia camporum","Sperandio_late","Sperandio","late"
"Grindelia hirsutula","Sperandio_late","Sperandio","late"
"Lactuca serriola","Sperandio_late","Sperandio","late"
"Lythrum californicum","Sperandio_late","Sperandio","late"
"Picris echioides","Sperandio_late","Sperandio","late"
"Raphanus raphanistrum","Sperandio_late","Sperandio","late"
"Rhamnus californica","Sperandio_late","Sperandio","late"
"Rhamnus tomentella","Sperandio_late","Sperandio","late"
"Rosa californica","Sperandio_late","Sperandio","late"
"Sambucus mexicana","Sperandio_late","Sperandio","late"
