"richness","sites","years"
8,"Barger","2006"
7,"Barger","2007"
8,"Barger","2008"
9,"Barger","2009"
7,"Barger","2011"
11,"Barger","2012"
19,"Barger","2013"
9,"Barger","2014"
3,"Butler","2006"
8,"Butler","2007"
7,"Butler","2008"
9,"Butler","2009"
9,"Butler","2011"
5,"Butler","2012"
8,"Butler","2013"
9,"Butler","2014"
7,"Hrdy","2007"
5,"Hrdy","2008"
9,"Hrdy","2009"
9,"Hrdy","2011"
13,"Hrdy","2012"
10,"Hrdy","2013"
7,"Hrdy","2014"
4,"MullerB","2006"
14,"MullerB","2007"
16,"MullerB","2008"
13,"MullerB","2009"
19,"MullerB","2011"
17,"MullerB","2012"
26,"MullerB","2013"
19,"MullerB","2014"
7,"Sperandio","2007"
6,"Sperandio","2008"
7,"Sperandio","2009"
6,"Sperandio","2011"
9,"Sperandio","2012"
9,"Sperandio","2013"
6,"Sperandio","2014"
