"species","class","site"
"Atriplex lentiformis","colonist","Barger"
"Ceanothus hearstiorum","colonist","Barger"
"Eriogonum fasciculatum","colonist","Barger"
"Erodium cicutarium","colonist","Barger"
"Heteromeles arbutifolia","colonist","Barger"
"Lotus unifoliolatus","colonist","Barger"
"Lupinus sp.","colonist","Barger"
"Malva neglecta","colonist","Barger"
"Malvella leprosa","colonist","Barger"
"Prunus ilicifolia","colonist","Barger"
"Rosa californica","colonist","Barger"
"Salix sp.","colonist","Barger"
"Salvia sp.","colonist","Barger"
"Sambucus mexicana","colonist","Barger"
"Ambrosia sp.","extinction","Barger"
"Asclepias fascicularis","extinction","Barger"
"Eschscholzia californica","extinction","Barger"
"Raphanus raphanistrum","extinction","Barger"
"Erodium cicutarium","colonist","Butler"
"Grindelia camporum","colonist","Butler"
"Heteromeles arbutifolia","colonist","Butler"
"Malva neglecta","colonist","Butler"
"Phacelia tanacetifolia","colonist","Butler"
"Polygonum arenastrum","colonist","Butler"
"Rosa californica","colonist","Butler"
"Sambucus mexicana","colonist","Butler"
"Silybum marianum","colonist","Butler"
"Eschscholzia californica","extinction","Butler"
"Grindelia hirsutula","extinction","Butler"
"Helianthus annuus","extinction","Butler"
"Polygonum lapathifolium","extinction","Butler"
"Symphyotrichum chilense","extinction","Butler"
"Tribulus terrestris","extinction","Butler"
"Aster chilensis","colonist","Hrdy"
"Epilobium campestre","colonist","Hrdy"
"Eriogonum fasciculatum","colonist","Hrdy"
"Erodium cicutarium","colonist","Hrdy"
"Heteromeles arbutifolia","colonist","Hrdy"
"Malva neglecta","colonist","Hrdy"
"Picris echioides","colonist","Hrdy"
"Rhamnus tomentella","colonist","Hrdy"
"Salvia sp.","colonist","Hrdy"
"Sambucus mexicana","colonist","Hrdy"
"Eschscholzia californica","extinction","Hrdy"
"Euphorbia peplus","extinction","Hrdy"
"Frangula californica","extinction","Hrdy"
"Fremontodendron californica","extinction","Hrdy"
"Lupinus sp.","extinction","Hrdy"
"Medicago polymorpha","extinction","Hrdy"
"Polygonum arenastrum","extinction","Hrdy"
"Tribulus terrestris","extinction","Hrdy"
"Alyssum sp.","colonist","MullerB"
"Asclepias curassavica","colonist","MullerB"
"Baccharis salicifolia","colonist","MullerB"
"Ceanothus sp.","colonist","MullerB"
"Daucus carota","colonist","MullerB"
"Eriogonum fasciculatum","colonist","MullerB"
"Grindelia camporum","colonist","MullerB"
"Heteromeles arbutifolia","colonist","MullerB"
"Hirschfieldia incana","colonist","MullerB"
"Lepidium latifolium","colonist","MullerB"
"Lobularia maritima","colonist","MullerB"
"Lotus scoparius","colonist","MullerB"
"Lupinus sp.","colonist","MullerB"
"Medicago sativa","colonist","MullerB"
"Physalis philadelphica","colonist","MullerB"
"Plantago lanceolata","colonist","MullerB"
"Plantago major","colonist","MullerB"
"Punica granatum","colonist","MullerB"
"Rhamnus californica","colonist","MullerB"
"Rhamnus tomentella","colonist","MullerB"
"Salix sp.","colonist","MullerB"
"Salvia sp.","colonist","MullerB"
"Torilis arvensis","colonist","MullerB"
"Trifolium incarnatum","colonist","MullerB"
"Zinnia elegans","colonist","MullerB"
"Capsella bursa-pastoris","extinction","MullerB"
"Centaurea solstitialis","extinction","MullerB"
"Coriandrum sativum","extinction","MullerB"
"Lactuca serriola","extinction","MullerB"
"Lotus purshianus","extinction","MullerB"
"Phacelia californica","extinction","MullerB"
"Sonchus sp.","extinction","MullerB"
"Trifolium repens","extinction","MullerB"
"Ceanothus hearstiorum","colonist","Sperandio"
"Ceanothus sp.","colonist","Sperandio"
"Eriogonum fasciculatum","colonist","Sperandio"
"Erodium cicutarium","colonist","Sperandio"
"Grindelia hirsutula","colonist","Sperandio"
"Heteromeles arbutifolia","colonist","Sperandio"
"Lactuca serriola","colonist","Sperandio"
"Lythrum californicum","colonist","Sperandio"
"Rhamnus californica","colonist","Sperandio"
"Rhamnus tomentella","colonist","Sperandio"
"Rosa californica","colonist","Sperandio"
"Sambucus mexicana","colonist","Sperandio"
"Centaurea solstitialis","extinction","Sperandio"
"Kickxia elatine","extinction","Sperandio"
"Melilotus alba","extinction","Sperandio"
"Polygonum lapathifolium","extinction","Sperandio"
"Trifolium pratense","extinction","Sperandio"
